description,name,filename-topics,filename-documents,topics,iterations
Party Platforms from the 20th century,party-platforms-20th-century-all,party-platforms-20th-century-all-topics,party-platforms-20th-century-all-documents,10,1050
Democratic Party Platforms from the 20th century,party-platforms-20th-century-democratic,party-platforms-20th-century-democratic-topics,party-platforms-20th-century-democratic-documents,10,1050
Republican Party Platforms from the 20th century,party-platforms-20th-century-republican,party-platforms-20th-century-republican-topics,party-platforms-20th-century-republican-documents,10,1050
Party Platforms from 1900-1944,party-platforms-1900-1944-all,party-platforms-1900-1944-all-topics,party-platforms-1900-1944-all-documents,10,1050
Democratic Party Platforms from 1900-1944,party-platforms-1900-1944-democratic,party-platforms-1900-1944-democratic-topics,party-platforms-1900-1944-democratic-documents,10,1050
Republican Party Platforms from 1900-1944,party-platforms-1900-1944-republican,party-platforms-1900-1944-republican-topics,party-platforms-1900-1944-republican-documents,10,1050
Party Platforms from 1948-2000,party-platforms-1948-2000-all,party-platforms-1948-2000-all-topics,party-platforms-1948-2000-all-documents,10,1050
Democratic Party Platforms from 1948-2000,party-platforms-1948-2000-democratic,party-platforms-1948-2000-democratic-topics,party-platforms-1948-2000-democratic-documents,10,1050
Republican Party Platforms from 1948-2000,party-platforms-1948-2000-republican,party-platforms-1948-2000-republican-topics,party-platforms-1948-2000-republican-documents,10,1050
State of the Union Addresses from the 20th century,sotu-20th-century,sotu-20th-century-topics,sotu-20th-century-documents,10,1150
State of the Union Addresses from 1900-1945,sotu-1900-1945,sotu-1900-1945-topics,sotu-1900-1945-documents,10,1150
State of the Union Addresses from 1946-2000,sotu-1946-2000,sotu-1946-2000-topics,sotu-1946-2000-documents,10,1150
